MAFUTA,  QUANTITY (pcs/pkts),FACTORY PRICE,SELLING PRICE,TOTAL
Adore leaving 125ml ,6,85,100,510
Adore leaving 500ml ,3,250,300/280,750
Adore leaving 1ltr ,1,360,380/400,360
Rodiant leaving 100ml,3,120,150/180,360
Rodiant leaving 250ml,3,250,300,750
Bomsi leaving 250ml,3,120,150,360
Bomsi leaving 450 ml,3,210,280/300,630
Bomsi leaving 1ltr,2,350,400,700
IC leaving 60 ml,6,100,150,600
IC leaving 355 ml,3,400,450,1200
B.Eleaving 500 ml,2,250,300,500
Baby Can 500g,3,220,250,660
Baby Can 200g,6,85,100/110,510
Baby Can 100g,6,50,60/70,300
Babylove anticlandruff 500g,6,265,280/300,1590
Babylove antidandruff green 250g,3,140,150/160/170,420
Babylove antidandruff green 110g,6,70,100,420
Babylove  white 250g,6,120,150,720
Babylove white 110g,6,120,100,720
Babylove white 60g,6,70,60,420
Bamsi moulding gel black 140g,6,210,250,1260
Bamsi moulding gel clear 265g ,6,315,350/380,1890
Adora moulding gel black 250g,6,320,380,1920
Adora moulding gel clear 250g,6,320,380,1920
Adora moulding gel clear 120g,6,210,250/230,1260
Adora moulding 500g,3,510,550,1530
Moulding wax 125g,4,310,350,1240
Moulding  wax 250g,3,410,450/480,1230
Moulding wax 500g,2,680,750730,1360
Soft and free styling gel 125ml,6,130,160/170,780
soft and free styling gel 250ml,6,210,260/250,1260
Mont leaving 100ml,6,120,150,720
Eco styling gel 250g,6,260,300,1560
Bemsi H food 240g,6,130,150,780
Bemsi H food 100g,6,70,100,420
TCB H food 100g,4,130,150,520
TCB H food 250g,3,285,320/350,855
TCB H food 50g,2,450,500,900
Radiant antidandruff,12,80,100,960
TCB regular/sup 215g,6,225,250/270,1350
Movit reg/sup 150g,12,125,150,1500
Movit Blowout 150g,12,125,150,1500
Brazillian wool Black,12,80,100/120,960
Ideal owe 25g,6,70,35/90,420
Ideal owe 200g,2,365,380/400,730
Ideal owe 100g,2,215,250,430
Tropical coconunt oil 250g,3,190,230/250,570
Tropical coconut oil 150g,3,120,150/160,360
TCB cocnut oil 150g,3,260,300,780
Arimis 50g,6,35,40,210
 Movit Curl Activator 80g,12,43,60,516
Gloshen Curl Activator 125g,6,70,100,420
Robbin Thread Big,10,550,100,5500
Robinn Thread Small,20,50,55,1000
Flavia Shampoo 5ltrs,3,280,350/330,840
Flavia conditioner 5ltrs,3,310,350/360,930
Bamsi Shampoo 500ml,4,70,100,280
Bamsi Shampoo 1ltr ,4,100,120,400
Bamsi conditioner 1ltr,4,100,120,400
Adora conditioner 500ml,4,75,100,300
Adora antidandruff 50g,6,40,50/160,240
B.C H food 500g,2,270,300,540
Beehive weave,3,410,500/480,1230
Adam weave,3,550,650/680,1650
Brazillian weave,3,650,700/750,1950
Roma weave,3,520,600,1560
Bomb twist,6,390,420,2340
Tiko weave,3,620,680/600,1860
Nikita weave,2,520,580/600,1040
Venetta weave ,1,490,550,490
Marrey braid,6,360,,2160
Soft dread,6,280,350/330,1680
Barbie braid,6,320,350/380,1920
Super maya,3,500,550/600,1500
Fantasia weave,3,650,700/750,1950
Tango braid,6,390,420/450,2340
Miwo braid,6,340,370/380,2040
Olive Sheen B/S,6,340,380/400,2040
Olive Sheen M/S,6,280,320,1680
Olive Sheen S/S,12,140,180,1680
Radiant Sheen S/S,4,190,220,760
DL Kit Sup/Reg,4,700,750,2800
Mega growth app,2,340,360/370,680
DL kit Beautiful beginning B/B,1,700,750,700
Miss Braids (Angles company) Long,200,66,75,13200
Miss Braids (Angles company) Short,150,56,70/65 ,8400
Bambe Braids Long,150,56,70/65 ,8400
Bambe Braids Short,100,56,70/65 ,5600
Makeba Braids Long,100,56,65,5600
Makeba Braids Short,80,56,65,4480
Tamasha Braids,6,290,350,1740
Guess gin,10,315,380/360,3150
Temple ceins,10,200,250/230,2000
Sasha Braids,10,190,230,1900
Afro Bulk crotchet,6,500,550,3000
Rico Carnival Braid mix colors,12,165,200,1980
Salsa Braids mix colors,12,150,170/180,1800
Porny Tail mixed colors,12,150,200/220,1800
Afrisassy crochet mixed colors,6,380,420/450,2280
habesha mixed colors,6,340,390/400,2040
Afro baby weave,6,600,650/700,3600
Paris weave,3,500,550/600,1500
Mayfair weave,3,650,700/750,1950
SuperDiva weave,3,550,600/650,1650
Everest weave,3,650,700/750,1950
Korea Hair braid big,24,30,50,720
Korea Hair braid small,24,15,20,360
Body splash (spray) big,6,220,250/260/280,1320
Body splash (spray) small,12,120,150/160,1440
Small perfumes 3ml,24,30,50/60,720
Cutex remover (small) 30 ml,12,35,50,420
Cutex remove (medium),12,40,50/60,480
Cutex small,12,20,30/35,240
Hair pins (black big),1,350,3@5/50,350
Hair pins (black small),1,220,3@5/50,220
Roll-ons small,12,110,150,1320
Clear Bpads(big),2,400,4@10,800
Charmax lipstick,12,35,50,420
Sleek/Duse lipstick,12,70,100,840
Foundation,6,200,250/380,1200
Loop shape earings,12,35,50,420
C/c earings(gold),12,35,50,420
Primer/Fixer spray for makeup,3,200,250,600
Loop earings,12,25,50,300
Chains,6,120,150,720
Puff sponge(beauty blender),12,60,100,720
OPI file,12,30,50,360
Buffer file,12,40,70/80,480
Wooden tail comb,12,35,50,420
Wood tolly comb,6,45,70/100,270
Rose leaf medium ponds,6,75,100,450
Rose leaf big ponds,6,110,150,660
Rose leaf small ponds,6,50,70/80,300
A-Face ponds,6,50,70/80,300
Eye shadow,6,80,100/120,480
Green tea small ponds,3,140,200,420
Green tea big ponds,3,190,250,570
Caflon earings,12,75,100,900
Eye lash glue,6,50,80/100,300
